Namespace(b1=0.5, b2=0.999, batch_size=64, channels=3, img_size=64, latent_dim=100, lr=0.0002, n_cpu=8, n_epochs=200, sample_interval=400)
[Epoch 2/200] [Batch 3/91] [D loss: 0.230212] [G loss: 1.017157]
[Epoch 2/200] [Batch 4/91] [D loss: 0.268865] [G loss: 1.122572]
[Epoch 2/200] [Batch 5/91] [D loss: 0.338519] [G loss: 0.711777]
[Epoch 2/200] [Batch 6/91] [D loss: 0.343483] [G loss: 0.704396]
[Epoch 2/200] [Batch 7/91] [D loss: 0.274478] [G loss: 0.876121]
[Epoch 2/200] [Batch 8/91] [D loss: 0.409899] [G loss: 1.087133]
[Epoch 2/200] [Batch 9/91] [D loss: 0.624765] [G loss: 0.340407]
[Epoch 2/200] [Batch 10/91] [D loss: 0.693162] [G loss: 0.289605]
[Epoch 2/200] [Batch 11/91] [D loss: 0.599439] [G loss: 0.360203]
[Epoch 2/200] [Batch 12/91] [D loss: 0.500663] [G loss: 0.459351]
[Epoch 2/200] [Batch 13/91] [D loss: 0.411444] [G loss: 0.582113]
[Epoch 2/200] [Batch 14/91] [D loss: 0.343842] [G loss: 0.706157]
[Epoch 2/200] [Batch 15/91] [D loss: 0.335727] [G loss: 0.838227]
[Epoch 2/200] [Batch 16/91] [D loss: 0.329101] [G loss: 0.819087]
[Epoch 2/200] [Batch 17/91] [D loss: 0.317942] [G loss: 0.780840]
[Epoch 2/200] [Batch 18/91] [D loss: 0.317077] [G loss: 0.810036]
[Epoch 2/200] [Batch 19/91] [D loss: 0.313201] [G loss: 0.826888]
[Epoch 2/200] [Batch 20/91] [D loss: 0.304318] [G loss: 0.821471]
[Epoch 2/200] [Batch 21/91] [D loss: 0.303364] [G loss: 0.861672]
[Epoch 2/200] [Batch 22/91] [D loss: 0.302132] [G loss: 0.870014]
[Epoch 2/200] [Batch 23/91] [D loss: 0.300653] [G loss: 0.816774]
[Epoch 2/200] [Batch 24/91] [D loss: 0.282219] [G loss: 0.900864]
[Epoch 2/200] [Batch 25/91] [D loss: 0.295707] [G loss: 0.940670]
[Epoch 2/200] [Batch 26/91] [D loss: 0.306204] [G loss: 0.795889]
[Epoch 2/200] [Batch 27/91] [D loss: 0.283437] [G loss: 0.899716]
[Epoch 2/200] [Batch 28/91] [D loss: 0.287778] [G loss: 0.969184]
[Epoch 2/200] [Batch 29/91] [D loss: 0.316895] [G loss: 0.768871]
[Epoch 2/200] [Batch 30/91] [D loss: 0.275491] [G loss: 0.917717]
[Epoch 2/200] [Batch 31/91] [D loss: 0.254035] [G loss: 1.040566]
[Epoch 2/200] [Batch 32/91] [D loss: 0.244218] [G loss: 1.029833]
[Epoch 2/200] [Batch 33/91] [D loss: 0.243408] [G loss: 0.994227]
